county,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,total
Kerry,1,3,1,0,0,1,3,5,3,1,5,3,4,3,5,4,5,5,4,5,2,4,2,3,5,4,3,3,2,4,0,3,5,4,3,5,113
Dublin,1,0,4,3,4,5,1,0,0,1,1,2,3,0,2,2,3,3,2,2,3,5,3,5,3,5,5,5,5,5,5,3,3,5,2,2,103
Mayo,0,1,3,3,1,1,4,4,0,3,0,1,2,1,4,2,4,0,1,2,0,3,4,4,3,3,4,4,0,3,4,4,2,2,1,1,79
Cork,5,0,0,4,3,3,1,0,0,4,0,1,3,0,0,3,3,4,3,4,5,2,3,2,2,1,0,1,1,2,1,1,2,2,1,1,68
Tyrone,0,0,0,0,1,4,3,0,0,0,0,2,0,5,2,5,0,2,5,3,2,2,0,3,0,3,2,3,4,3,0,5,0,2,1,3,65
Galway,1,0,0,0,0,3,1,0,5,1,4,5,2,2,0,2,1,1,2,1,0,0,0,0,2,0,2,2,3,1,1,1,4,1,4,2,54
Donegal,3,1,5,1,0,0,0,0,1,0,0,0,2,3,1,0,2,0,0,2,0,3,5,2,4,2,2,0,2,2,1,0,1,1,3,4,53
Meath,4,4,0,0,1,1,5,1,1,5,0,4,0,0,0,0,0,3,0,3,2,0,1,1,1,0,0,0,0,2,1,0,0,0,1,3,44
Armagh,1,0,0,0,0,0,0,0,0,3,3,0,5,4,2,3,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,2,5,2,40
Kildare,0,0,1,1,0,0,0,0,4,0,3,0,1,1,0,0,0,0,2,2,3,2,2,0,0,2,0,1,2,0,0,1,1,1,0,0,30
Derry,0,0,1,5,0,0,0,1,3,0,1,3,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,1,29
Roscommon,3,3,1,1,0,0,0,0,1,0,0,2,0,2,1,0,0,0,0,0,2,1,0,0,0,0,1,2,2,2,0,0,1,1,2,1,29
Down,0,5,0,0,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,21
Monaghan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,2,2,0,2,3,0,0,1,0,3,1,2,21
Clare,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,1,1,1,13
Cavan,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,1,12
Laois,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,12
Tipperary,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10
Westmeath,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,10
Fermanagh,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,9
Limerick,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9
Sligo,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,9
Leitrim,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
Louth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5
Offaly,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Wexford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Antrim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
