rank,county,total_points,years_scoring,avg_per_year_all,avg_per_scoring_year
1,Kerry,113,33,3.14,3.42
2,Dublin,103,32,2.86,3.22
3,Mayo,79,30,2.19,2.63
4,Cork,68,28,1.89,2.43
5,Tyrone,65,22,1.81,2.95
6,Galway,54,25,1.5,2.16
7,Donegal,53,23,1.47,2.3
8,Meath,44,19,1.22,2.32
9,Armagh,40,15,1.11,2.67
10,Kildare,30,17,0.83,1.76
11,Derry,29,13,0.81,2.23
12,Roscommon,29,18,0.81,1.61
13,Down,21,9,0.58,2.33
14,Monaghan,21,11,0.58,1.91
15,Clare,13,9,0.36,1.44
16,Cavan,12,7,0.33,1.71
17,Laois,12,8,0.33,1.5
18,Tipperary,10,6,0.28,1.67
19,Westmeath,10,7,0.28,1.43
20,Fermanagh,9,5,0.25,1.8
21,Limerick,9,8,0.25,1.12
22,Sligo,9,7,0.25,1.29
23,Leitrim,5,3,0.14,1.67
24,Louth,5,4,0.14,1.25
25,Offaly,4,2,0.11,2.0
26,Wexford,4,2,0.11,2.0
27,Antrim,1,1,0.03,1.0
28,London,1,1,0.03,1.0
